# loc (location id), x (in meter), y (in meter)
23.3.6, -509, 129
23.3.5, -494, 143
23.3.4, -483, 136
23.3.3, -510, 139
23.3.1, -487, 146
23.4.14, -515, 134
23.4.13, -504, 127
23.4.12, -512, 126
23.4.11, -501, 150
23.4.10, -499, 138
23.4.9, -486, 144
23.4.8, -508, 145
23.4.7, -506, 130
23.4.6, -490, 144
23.4.5, -510, 139
23.4.3, -497, 130
23.4.2, -486, 133
23.4.1, -496, 148
23.5.2, -482, 135
23.5.1, -481, 142
128.4.1, -123, 393
128.1.2, -121, 398
128.1.1, -122, 385
24.4.3, 306, 523
24.4.2, 287, 542
24.4.1, 274, 526
24.3.2, 299, 536
24.3.1, 287, 517
24.2.3, 282, 535
24.2.2, 309, 528
24.2.1, 299, 512
24.1.1, 291, 524
25.2.3, 1773, 1611
25.2.2, 1750, 1615
25.2.1, 1731, 1591
26.4.1, 122, 49
26.4.2, 121, 64
26.4.3, 119, 34
26.4.4, 118, 46
26.3.1, 124, 64
26.3.2, 117, 31
26.2.1, 119, 67
26.2.2, 114, 48
26.2.3, 114, 48
26.2.4, 118, 28
26.1.1, 120, 41
26.1.2, 123, 53
104.2.7, 317, 595
104.2.6, 312, 615
104.2.5, 297, 595
104.2.4, 313, 649
104.2.3, 303, 640
104.2.2, 295, 622
104.2.1, 306, 597
104.3.5, 318, 632
104.3.4, 308, 650
104.3.3, 309, 635
104.3.2, 298, 628
104.3.1, 296, 620
104.4.2, 312, 635
104.4.1, 294, 633
104.5.4, 314, 642
104.5.3, 302, 628
104.5.2, 302, 640
104.5.1, 298, 616
104.6.5, 312, 628
104.6.4, 309, 652
104.6.3, 305, 632
104.6.2, 299, 635
104.6.1, 292, 611
104.7.4, 315, 633
104.7.3, 316, 645
104.7.2, 296, 637
104.7.1, 298, 615
104.8.2, 315, 626
104.8.1, 296, 638
104.9.5, 294, 599
104.9.4, 308, 647
104.9.3, 307, 623
104.9.2, 300, 634
104.9.1, 292, 618
27.1.1, 234, 885
27.2.1, 224, 881
27.3.1, 230, 884
88.1.1, 15364, 9388
88.1.2, 15376, 9368
88.2.1, 15380, 9373
88.2.2, 15366, 9382
28.3.2, 335, -113
28.3.1, 328, -111
28.1.1, 330, -108
28.2.1, 328, -108
30.2.2, 203, 625
30.2.1, 184, 601
30.3.5, 169, 633
30.3.4, 164, 616
30.3.3, 194, 619
30.3.2, 200, 624
30.3.1, 192, 605
30.4.6, 161, 638
30.4.5, 168, 630
30.4.4, 182, 623
30.4.3, 198, 629
30.4.2, 194, 619
30.4.1, 186, 601
30.5.6, 163, 640
30.5.5, 158, 629
30.5.4, 173, 630
30.5.3, 172, 617
30.5.2, 194, 619
30.5.1, 185, 603
30.6.7, 158, 635
30.6.6, 169, 631
30.6.5, 170, 618
30.6.4, 183, 622
30.6.3, 203, 627
30.6.2, 195, 619
30.6.1, 185, 601
211.1.1, 638, 88
